"","sample_id","bsi","wavenumber","absorbance"
"109","FISK-10.0",20.37,"3788","-0.0046473756961"
"110","FISK-10.0",20.37,"3786","-0.0044545421599"
"111","FISK-10.0",20.37,"3784","-0.0041549587552"
"112","FISK-10.0",20.37,"3782","-0.0040075257812"
"113","FISK-10.0",20.37,"3780","-0.0040275237073"
"114","FISK-10.0",20.37,"3778","-0.0037822600364"
"115","FISK-10.0",20.37,"3776","-0.0034180172964"
"116","FISK-10.0",20.37,"3775","-0.0033039526009"
"117","FISK-10.0",20.37,"3773","-0.0032500000000"
"118","FISK-10.0",20.37,"3771","-0.0033411526178"
"119","FISK-10.0",20.37,"3769","-0.0032388144530"
"120","FISK-10.0",20.37,"3767","-0.0031297437174"
"121","FISK-10.0",20.37,"3765","-0.0030448388318"
"122","FISK-10.0",20.37,"3763","-0.0029521180259"
"123","FISK-10.0",20.37,"3761","-0.0031483898213"
"124","FISK-10.0",20.37,"3759","-0.0029937336486"
"125","FISK-10.0",20.37,"3757","-0.0022549876085"
"126","FISK-10.0",20.37,"3755","-0.0016750292680"
"127","FISK-10.0",20.37,"3753","-0.0016158169884"
"128","FISK-10.0",20.37,"3751","-0.0012839012718"
"129","FISK-10.0",20.37,"3749","-0.0003159795306"
"130","FISK-10.0",20.37,"3748","-0.0000204482743"
"131","FISK-10.0",20.37,"3746","-0.0005203465493"
"132","FISK-10.0",20.37,"3744","-0.0003672738019"
"133","FISK-10.0",20.37,"3742"," 0.0010917723061"
"134","FISK-10.0",20.37,"3740"," 0.0017877430343"
"135","FISK-10.0",20.37,"3738"," 0.0017743152748"
"136","FISK-10.0",20.37,"3736"," 0.0022381463969"
"137","FISK-10.0",20.37,"3734"," 0.0032517664992"
"138","FISK-10.0",20.37,"3732"," 0.0042447797774"
"139","FISK-10.0",20.37,"3730"," 0.0051573881777"
"140","FISK-10.0",20.37,"3728"," 0.0057338672598"
"141","FISK-10.0",20.37,"3726"," 0.0064552769165"
"142","FISK-10.0",20.37,"3724"," 0.0077518744459"
"143","FISK-10.0",20.37,"3722"," 0.0091852075200"
"144","FISK-10.0",20.37,"3721"," 0.0099058890047"
"145","FISK-10.0",20.37,"3719"," 0.0114814482587"
"146","FISK-10.0",20.37,"3717"," 0.0132147808662"
"147","FISK-10.0",20.37,"3715"," 0.0147531425861"
"148","FISK-10.0",20.37,"3713"," 0.0161203188108"
"149","FISK-10.0",20.37,"3711"," 0.0180681622104"
"150","FISK-10.0",20.37,"3709"," 0.0204597666859"
"151","FISK-10.0",20.37,"3707"," 0.0226715250450"
"152","FISK-10.0",20.37,"3705"," 0.0246841724347"
"153","FISK-10.0",20.37,"3703"," 0.0267539974491"
"154","FISK-10.0",20.37,"3701"," 0.0292707303770"
"155","FISK-10.0",20.37,"3699"," 0.0319661330513"
"156","FISK-10.0",20.37,"3697"," 0.0345113869230"
"157","FISK-10.0",20.37,"3695"," 0.0371776237732"
"158","FISK-10.0",20.37,"3694"," 0.0385308458416"
"159","FISK-10.0",20.37,"3692"," 0.0410244573141"
"160","FISK-10.0",20.37,"3690"," 0.0435251881290"
"161","FISK-10.0",20.37,"3688"," 0.0467260652865"
"162","FISK-10.0",20.37,"3686"," 0.0502718392932"
"163","FISK-10.0",20.37,"3684"," 0.0534655483142"
"164","FISK-10.0",20.37,"3682"," 0.0568027493221"
"165","FISK-10.0",20.37,"3680"," 0.0606456816662"
"166","FISK-10.0",20.37,"3678"," 0.0643800603503"
"167","FISK-10.0",20.37,"3676"," 0.0684323597393"
"168","FISK-10.0",20.37,"3674"," 0.0731560494730"
"169","FISK-10.0",20.37,"3672"," 0.0767606332146"
"170","FISK-10.0",20.37,"3670"," 0.0798193022351"
"171","FISK-10.0",20.37,"3668"," 0.0838518319309"
"172","FISK-10.0",20.37,"3667"," 0.0858479641007"
"173","FISK-10.0",20.37,"3665"," 0.0892499241988"
"174","FISK-10.0",20.37,"3663"," 0.0925963185620"
"175","FISK-10.0",20.37,"3661"," 0.0961489610834"
"176","FISK-10.0",20.37,"3659"," 0.0994225388727"
"177","FISK-10.0",20.37,"3657"," 0.1026194126705"
"178","FISK-10.0",20.37,"3655"," 0.1064449110555"
"179","FISK-10.0",20.37,"3653"," 0.1097586967072"
"180","FISK-10.0",20.37,"3651"," 0.1119930125523"
"181","FISK-10.0",20.37,"3649"," 0.1148502115382"
"182","FISK-10.0",20.37,"3647"," 0.1184324864938"
"183","FISK-10.0",20.37,"3645"," 0.1214695281351"
"184","FISK-10.0",20.37,"3643"," 0.1239283462175"
"185","FISK-10.0",20.37,"3641"," 0.1264953903346"
"186","FISK-10.0",20.37,"3640"," 0.1278797209563"
"187","FISK-10.0",20.37,"3638"," 0.1305776502154"
"188","FISK-10.0",20.37,"3636"," 0.1331953854091"
"189","FISK-10.0",20.37,"3634"," 0.1359013121069"
"190","FISK-10.0",20.37,"3632"," 0.1381890798090"
"191","FISK-10.0",20.37,"3630"," 0.1399039488679"
"192","FISK-10.0",20.37,"3628"," 0.1425143151488"
"193","FISK-10.0",20.37,"3626"," 0.1455249281652"
"194","FISK-10.0",20.37,"3624"," 0.1475359609173"
"195","FISK-10.0",20.37,"3622"," 0.1490902143379"
"196","FISK-10.0",20.37,"3620"," 0.1509353766987"
"197","FISK-10.0",20.37,"3618"," 0.1532146300934"
"198","FISK-10.0",20.37,"3616"," 0.1551239353875"
"199","FISK-10.0",20.37,"3614"," 0.1565041764572"
"200","FISK-10.0",20.37,"3612"," 0.1579487595464"
"201","FISK-10.0",20.37,"3611"," 0.1587057343433"
"202","FISK-10.0",20.37,"3609"," 0.1603265051096"
"203","FISK-10.0",20.37,"3607"," 0.1623959984549"
"204","FISK-10.0",20.37,"3605"," 0.1645259900038"
"205","FISK-10.0",20.37,"3603"," 0.1662320906503"
"206","FISK-10.0",20.37,"3601"," 0.1678039577338"
"207","FISK-10.0",20.37,"3599"," 0.1694799486712"
"208","FISK-10.0",20.37,"3597"," 0.1710764124061"
"209","FISK-10.0",20.37,"3595"," 0.1726766095825"
"210","FISK-10.0",20.37,"3593"," 0.1744077538069"
"211","FISK-10.0",20.37,"3591"," 0.1758103785392"
"212","FISK-10.0",20.37,"3589"," 0.1768132809673"
"213","FISK-10.0",20.37,"3587"," 0.1782221065157"
"214","FISK-10.0",20.37,"3585"," 0.1800980485086"
"215","FISK-10.0",20.37,"3584"," 0.1809742727598"
"216","FISK-10.0",20.37,"3582"," 0.1824559355849"
"217","FISK-10.0",20.37,"3580"," 0.1839090633215"
"218","FISK-10.0",20.37,"3578"," 0.1854158875011"
"219","FISK-10.0",20.37,"3576"," 0.1868553254732"
"220","FISK-10.0",20.37,"3574"," 0.1882282181021"
"221","FISK-10.0",20.37,"3572"," 0.1895451398589"
"222","FISK-10.0",20.37,"3570"," 0.1905488705521"
"223","FISK-10.0",20.37,"3568"," 0.1915559311260"
"224","FISK-10.0",20.37,"3566"," 0.1932267451639"
"225","FISK-10.0",20.37,"3564"," 0.1949929069388"
"226","FISK-10.0",20.37,"3562"," 0.1962671572486"
"227","FISK-10.0",20.37,"3560"," 0.1974201351148"
"228","FISK-10.0",20.37,"3558"," 0.1986593868504"
"229","FISK-10.0",20.37,"3557"," 0.1992867426752"
"230","FISK-10.0",20.37,"3555"," 0.2005660358371"
