,wavenumber,absorbance
238,7037.94022,-0.00471
239,7036.01149,-0.00331
240,7034.08276,-0.00128
241,7032.15403,0.0002
242,7030.2253,0.00114
243,7028.29656,0.00078
244,7026.36783,-0.00069
245,7024.4391,-0.00087
246,7022.51037,0.00132
247,7020.58164,0.00418
248,7018.65291,0.00562
249,7016.72418,0.00461
250,7014.79545,0.00231
251,7012.86671,0.00152
252,7010.93798,0.00251
253,7009.00925,0.00278
254,7007.08052,0.00141
255,7005.15179,0.0001
256,7003.22306,0.00041
257,7001.29433,0.00066
258,6999.3656,-0.00107
259,6997.43686,-0.0027
260,6995.50813,-0.00199
261,6993.5794,-8e-05
262,6991.65067,0.00137
263,6989.72194,0.00265
264,6987.79321,0.00359
265,6985.86448,0.00279
266,6983.93575,0.00095
267,6982.00701,0.00023
268,6980.07828,0.0009
269,6978.14955,0.00206
270,6976.22082,0.00291
271,6974.29209,0.00317
272,6972.36336,0.0033
273,6970.43463,0.00327
274,6968.5059,0.00228
275,6966.57716,0.00063
276,6964.64843,-0.00032
277,6962.7197,-0.00038
278,6960.79097,-0.00035
279,6958.86224,-0.00023
280,6956.93351,0.00047
281,6955.00478,0.00115
282,6953.07605,0.00082
283,6951.14732,0.00012
284,6949.21858,0.00067
285,6947.28985,0.00235
286,6945.36112,0.00308
287,6943.43239,0.00236
288,6941.50366,0.00191
289,6939.57493,0.00231
290,6937.6462,0.00229
291,6935.71747,0.00143
292,6933.78873,0.00111
293,6931.86,0.00181
294,6929.93127,0.00215
295,6928.00254,0.00132
296,6926.07381,0.00053
297,6924.14508,0.00095
298,6922.21635,0.00139
299,6920.28762,0.0007
300,6918.35888,0.00046
301,6916.43015,0.00157
302,6914.50142,0.00187
303,6912.57269,0.00042
304,6910.64396,-0.00088
305,6908.71523,-0.00092
306,6906.7865,0.00017
307,6904.85777,0.00105
308,6902.92903,0.00036
309,6901.0003,-0.00083
310,6899.07157,-0.00118
311,6897.14284,-0.00049
312,6895.21411,0.00092
313,6893.28538,0.00145
314,6891.35665,8e-05
315,6889.42792,-0.00144
316,6887.49918,-0.00082
317,6885.57045,0.00148
318,6883.64172,0.0034
319,6881.71299,0.00368
320,6879.78426,0.00226
321,6877.85553,0.00086
322,6875.9268,0.00085
323,6873.99807,0.00083
324,6872.06934,2e-05
325,6870.1406,7e-05
326,6868.21187,0.00155
327,6866.28314,0.00303
328,6864.35441,0.00319
329,6862.42568,0.00227
330,6860.49695,0.00157
331,6858.56822,0.0015
332,6856.63949,0.00137
333,6854.71075,0.00079
334,6852.78202,-0.0002
335,6850.85329,-0.00095
336,6848.92456,-0.0008
337,6846.99583,0.00021
338,6845.0671,0.00061
339,6843.13837,0.00024
340,6841.20964,-0.00019
341,6839.2809,-0.0002
342,6837.35217,0.00042
343,6835.42344,0.0014
344,6833.49471,0.00228
345,6831.56598,0.00295
346,6829.63725,0.00336
347,6827.70852,0.00418
348,6825.77979,0.00494
349,6823.85105,0.00429
350,6821.92232,0.00253
351,6819.99359,0.00086
352,6818.06486,0.00077
353,6816.13613,0.00189
354,6814.2074,0.00166
355,6812.27867,0.00045
356,6810.34994,0.0005
357,6808.4212,0.00116
358,6806.49247,0.00109
359,6804.56374,0.00149
360,6802.63501,0.00249
361,6800.70628,0.00177
362,6798.77755,-2e-05
363,6796.84882,0.00022
364,6794.92009,0.0024
365,6792.99136,0.00432
366,6791.06262,0.00455
367,6789.13389,0.00231
368,6787.20516,-0.00048
369,6785.27643,-0.00016
370,6783.3477,0.00273
371,6781.41897,0.00427
372,6779.49024,0.00391
373,6777.56151,0.00368
374,6775.63277,0.00346
375,6773.70404,0.00276
376,6771.77531,0.00248
377,6769.84658,0.0022
378,6767.91785,0.00116
379,6765.98912,0.00071
380,6764.06039,0.00122
381,6762.13166,0.00148
382,6760.20292,0.00155
383,6758.27419,0.00168
384,6756.34546,0.00128
385,6754.41673,0.00038
386,6752.488,-0.00039
387,6750.55927,-0.00056
388,6748.63054,-0.00012
389,6746.70181,0.00069
390,6744.77307,0.00135
391,6742.84434,0.00103
392,6740.91561,-0.00018
393,6738.98688,-0.00126
394,6737.05815,-0.00106
395,6735.12942,0.00066
396,6733.20069,0.00241
397,6731.27196,0.00306
398,6729.34322,0.0031
399,6727.41449,0.00324
400,6725.48576,0.00356
401,6723.55703,0.00348
402,6721.6283,0.00246
403,6719.69957,0.00097
404,6717.77084,-0.00015
405,6715.84211,-0.00066
406,6713.91338,-0.00045
407,6711.98464,0.00045
408,6710.05591,0.00096
409,6708.12718,3e-05
410,6706.19845,-0.00182
411,6704.26972,-0.00258
412,6702.34099,-0.00152
413,6700.41226,-0.00047
414,6698.48353,-1e-05
415,6696.55479,0.00024
416,6694.62606,-0.00038
417,6692.69733,-0.00116
418,6690.7686,-0.00136
419,6688.83987,-0.00173
420,6686.91114,-0.0022
421,6684.98241,-0.00182
422,6683.05368,-0.00057
423,6681.12494,0.00073
424,6679.19621,0.00179
425,6677.26748,0.00229
426,6675.33875,0.00184
427,6673.41002,0.00173
428,6671.48129,0.00258
429,6669.55256,0.00261
430,6667.62383,0.00186
431,6665.69509,0.00172
432,6663.76636,0.00214
433,6661.83763,0.00298
434,6659.9089,0.00348
435,6657.98017,0.00263
436,6656.05144,0.00072
437,6654.12271,-0.00089
438,6652.19398,-0.00078
439,6650.26524,0.00026
440,6648.33651,0.0012
441,6646.40778,0.00254
442,6644.47905,0.00325
443,6642.55032,0.0027
444,6640.62159,0.00241
445,6638.69286,0.00255
446,6636.76413,0.00173
447,6634.8354,0.00065
448,6632.90666,0.00083
449,6630.97793,0.00118
450,6629.0492,0.0007
451,6627.12047,0.00032
452,6625.19174,0.00039
453,6623.26301,0.00014
454,6621.33428,-4e-05
455,6619.40555,0.00068
456,6617.47681,0.00088
457,6615.54808,-0.00015
458,6613.61935,-0.00091
459,6611.69062,-0.00133
460,6609.76189,-0.00182
461,6607.83316,-0.00161
462,6605.90443,-0.00118
463,6603.9757,-0.00142
464,6602.04696,-0.00165
465,6600.11823,-0.00127
466,6598.1895,-0.00041
467,6596.26077,0.00058
468,6594.33204,0.0014
469,6592.40331,0.00168
470,6590.47458,0.00114
471,6588.54585,0.00093
472,6586.61711,0.00203
473,6584.68838,0.00325
474,6582.75965,0.00305
475,6580.83092,0.00182
476,6578.90219,0.00098
477,6576.97346,0.0001
478,6575.04473,-0.00137
479,6573.116,-0.00196
480,6571.18726,-0.0007
481,6569.25853,0.00121
482,6567.3298,0.00195
483,6565.40107,0.00172
484,6563.47234,0.00166
485,6561.54361,0.00165
486,6559.61488,0.00184
487,6557.68615,0.00221
488,6555.75742,0.00174
489,6553.82868,0.00058
490,6551.89995,-0.00012
491,6549.97122,-0.00019
492,6548.04249,6e-05
493,6546.11376,0.00039
494,6544.18503,0.00031
495,6542.2563,-0.0002
496,6540.32757,-0.00046
497,6538.39883,8e-05
498,6536.4701,0.00076
499,6534.54137,0.00016
500,6532.61264,-0.00126
501,6530.68391,-0.00182
502,6528.75518,-0.00148
503,6526.82645,-0.00113
504,6524.89772,-0.00066
505,6522.96898,0.0003
506,6521.04025,0.00191
507,6519.11152,0.00334
508,6517.18279,0.00287
509,6515.25406,0.00073
510,6513.32533,-0.00076
511,6511.3966,-0.00061
512,6509.46787,5e-05
513,6507.53913,0.0006
514,6505.6104,0.00101
515,6503.68167,0.00083
516,6501.75294,0.00041
517,6499.82421,-4e-05
518,6497.89548,-0.00085
519,6495.96675,-0.00131
520,6494.03802,-0.00109
521,6492.10928,-0.00082
522,6490.18055,-0.00047
523,6488.25182,-0.00012
524,6486.32309,-0.00051
525,6484.39436,-0.00137
526,6482.46563,-0.00166
527,6480.5369,-0.00119
528,6478.60817,-0.00069
529,6476.67944,-0.0005
530,6474.7507,-0.00027
531,6472.82197,0.00059
532,6470.89324,0.00235
533,6468.96451,0.00381
534,6467.03578,0.00366
535,6465.10705,0.00244
536,6463.17832,0.00131
537,6461.24959,0.00064
538,6459.32085,0.00019
539,6457.39212,-2e-05
540,6455.46339,0.00056
541,6453.53466,0.00196
542,6451.60593,0.00317
543,6449.6772,0.00311
544,6447.74847,0.00209
545,6445.81974,0.00096
546,6443.891,-0.00033
547,6441.96227,-0.00144
548,6440.03354,-0.00115
549,6438.10481,0.00021
550,6436.17608,0.00085
551,6434.24735,0.00042
552,6432.31862,-0.00042
553,6430.38989,-0.00144
554,6428.46115,-0.0019
555,6426.53242,-0.00114
556,6424.60369,0.00024
557,6422.67496,0.00107
558,6420.74623,0.00123
559,6418.8175,0.00123
560,6416.88877,0.00087
561,6414.96004,0.00043
562,6413.0313,0.00055
563,6411.10257,0.00059
564,6409.17384,0.00015
565,6407.24511,-0.00015
566,6405.31638,-4e-05
567,6403.38765,0.00022
568,6401.45892,0.00023
569,6399.53019,-2e-05
570,6397.60146,-0.00037
571,6395.67272,-0.00065
572,6393.74399,-0.00078
573,6391.81526,-0.00078
574,6389.88653,-0.00068
575,6387.9578,-0.00107
576,6386.02907,-0.00161
577,6384.10034,-0.00124
578,6382.17161,-0.00054
579,6380.24287,-0.00024
580,6378.31414,-0.00019
581,6376.38541,-0.00041
582,6374.45668,-0.00052
583,6372.52795,0.00023
584,6370.59922,0.00108
585,6368.67049,0.00101
586,6366.74176,0.00109
587,6364.81302,0.00171
588,6362.88429,0.0016
589,6360.95556,0.00077
590,6359.02683,-0.00011
591,6357.0981,-0.00067
592,6355.16937,-0.00056
593,6353.24064,-0.00056
594,6351.31191,-0.00101
595,6349.38317,-0.00081
596,6347.45444,-9e-05
597,6345.52571,-3e-05
598,6343.59698,-0.00066
599,6341.66825,-0.0008
600,6339.73952,0.00021
601,6337.81079,0.00122
602,6335.88206,0.00124
603,6333.95332,0.0008
604,6332.02459,0.00042
605,6330.09586,0.00038
606,6328.16713,0.00097
607,6326.2384,0.00133
608,6324.30967,0.00051
609,6322.38094,-0.00045
610,6320.45221,6e-05
611,6318.52348,0.00141
612,6316.59474,0.00203
613,6314.66601,0.0015
614,6312.73728,0.00025
615,6310.80855,-0.00082
616,6308.87982,-0.00107
617,6306.95109,-0.00075
618,6305.02236,-0.00075
619,6303.09363,-0.00151
620,6301.16489,-0.00197
621,6299.23616,-0.00113
622,6297.30743,0.00035
623,6295.3787,0.00112
624,6293.44997,0.00079
625,6291.52124,0.00022
626,6289.59251,1e-05
627,6287.66378,0.0
628,6285.73504,0.00024
629,6283.80631,0.00068
630,6281.87758,0.00079
631,6279.94885,0.00062
632,6278.02012,0.0009
633,6276.09139,0.00122
634,6274.16266,0.00066
635,6272.23393,-0.00039
636,6270.30519,-0.00073
637,6268.37646,-0.00051
638,6266.44773,-0.00056
639,6264.519,-0.00015
640,6262.59027,0.00094
641,6260.66154,0.00132
642,6258.73281,0.00088
643,6256.80408,0.00077
644,6254.87534,0.00127
645,6252.94661,0.00132
646,6251.01788,0.00034
647,6249.08915,-0.00032
648,6247.16042,0.00025
649,6245.23169,0.00097
650,6243.30296,0.00099
651,6241.37423,0.00074
652,6239.4455,0.0008
653,6237.51676,0.00108
654,6235.58803,0.00097
655,6233.6593,0.00067
656,6231.73057,0.00076
657,6229.80184,0.00078
658,6227.87311,0.0004
659,6225.94438,-5e-05
660,6224.01565,-0.00018
661,6222.08691,-3e-05
662,6220.15818,-3e-05
663,6218.22945,-0.00014
664,6216.30072,-7e-05
665,6214.37199,4e-05
666,6212.44326,0.0002
667,6210.51453,0.00079
668,6208.5858,0.00181
669,6206.65706,0.00208
670,6204.72833,0.00111
671,6202.7996,0.00034
672,6200.87087,0.00054
673,6198.94214,0.001
674,6197.01341,0.00128
675,6195.08468,0.0013
676,6193.15595,0.00106
677,6191.22721,0.00076
678,6189.29848,0.00057
679,6187.36975,0.00024
680,6185.44102,-0.0004
681,6183.51229,-0.00073
682,6181.58356,-0.00045
683,6179.65483,-0.00022
684,6177.7261,-0.00054
685,6175.79736,-0.001
686,6173.86863,-0.00085
687,6171.9399,-0.00035
688,6170.01117,-0.00044
689,6168.08244,-0.00069
690,6166.15371,-0.00011
691,6164.22498,0.00052
692,6162.29625,0.00025
693,6160.36752,-0.00029
694,6158.43878,-0.0001
695,6156.51005,0.00082
696,6154.58132,0.00155
697,6152.65259,0.00145
698,6150.72386,0.00087
699,6148.79513,8e-05
700,6146.8664,-0.00069
701,6144.93767,-0.00064
702,6143.00893,0.00055
703,6141.0802,0.00167
704,6139.15147,0.00161
705,6137.22274,0.00091
706,6135.29401,0.00049
707,6133.36528,0.00027
708,6131.43655,-0.00013
709,6129.50782,-0.00048
710,6127.57908,-0.00036
711,6125.65035,-0.0001
712,6123.72162,7e-05
713,6121.79289,0.00036
714,6119.86416,0.00059
715,6117.93543,0.00049
716,6116.0067,0.00022
717,6114.07797,5e-05
718,6112.14923,0.00029
719,6110.2205,0.00078
720,6108.29177,0.00082
721,6106.36304,0.00062
722,6104.43431,0.00086
723,6102.50558,0.00104
724,6100.57685,0.00046
725,6098.64812,-0.00035
726,6096.71938,-0.00044
727,6094.79065,0.00024
728,6092.86192,0.00112
729,6090.93319,0.0014
730,6089.00446,0.00072
731,6087.07573,-0.00023
732,6085.147,-0.00063
733,6083.21827,-0.00063
734,6081.28954,-0.0008
735,6079.3608,-0.0011
736,6077.43207,-0.00131
737,6075.50334,-0.0012
738,6073.57461,-0.00062
739,6071.64588,-2e-05
740,6069.71715,0.00013
741,6067.78842,8e-05
742,6065.85969,-0.00011
743,6063.93095,-0.00032
744,6062.00222,-3e-05
745,6060.07349,0.00053
746,6058.14476,0.0006
747,6056.21603,0.0001
748,6054.2873,-0.00069
749,6052.35857,-0.00142
750,6050.42984,-0.00159
751,6048.5011,-0.00108
752,6046.57237,-0.00048
753,6044.64364,-0.00017
754,6042.71491,4e-05
755,6040.78618,0.00021
756,6038.85745,0.00019
757,6036.92872,5e-05
758,6034.99999,1e-05
759,6033.07125,2e-05
760,6031.14252,-7e-05
761,6029.21379,-0.00019
762,6027.28506,-0.00022
763,6025.35633,-0.0002
764,6023.4276,-0.00043
765,6021.49887,-0.00074
766,6019.57014,-0.00071
767,6017.6414,-0.0005
768,6015.71267,-0.00044
769,6013.78394,-0.00053
770,6011.85521,-0.00058
771,6009.92648,-0.00067
772,6007.99775,-0.00062
773,6006.06902,-0.00026
774,6004.14029,0.00018
775,6002.21156,0.00052
776,6000.28282,0.00055
777,5998.35409,0.00043
778,5996.42536,0.00044
779,5994.49663,0.00038
780,5992.5679,0.00024
781,5990.63917,0.00032
782,5988.71044,0.00052
783,5986.78171,0.00015
784,5984.85297,-0.00083
785,5982.92424,-0.00116
786,5980.99551,-0.00066
787,5979.06678,-0.00029
788,5977.13805,-4e-05
789,5975.20932,0.00046
790,5973.28059,0.00071
791,5971.35186,0.00047
792,5969.42312,0.00022
793,5967.49439,0.00027
794,5965.56566,0.00043
795,5963.63693,0.0004
796,5961.7082,0.00021
797,5959.77947,1e-05
798,5957.85074,-0.00031
799,5955.92201,-0.00056
800,5953.99327,-0.00031
801,5952.06454,0.00025
802,5950.13581,0.00046
803,5948.20708,0.00015
804,5946.27835,-0.00032
805,5944.34962,-0.00068
806,5942.42089,-0.00112
807,5940.49216,-0.00157
808,5938.56342,-0.00181
809,5936.63469,-0.00187
810,5934.70596,-0.00137
811,5932.77723,-0.00052
812,5930.8485,8e-05
813,5928.91977,0.0004
814,5926.99104,0.00049
815,5925.06231,0.00042
816,5923.13358,0.00028
817,5921.20484,1e-05
818,5919.27611,-0.00021
819,5917.34738,-0.00012
820,5915.41865,0.0001
821,5913.48992,3e-05
822,5911.56119,-0.0004
823,5909.63246,-0.00086
824,5907.70373,-0.00103
825,5905.77499,-0.00063
826,5903.84626,4e-05
827,5901.91753,8e-05
828,5899.9888,-0.00018
829,5898.06007,3e-05
830,5896.13134,0.00028
831,5894.20261,-1e-05
832,5892.27388,-0.00056
833,5890.34514,-0.00069
